;NOM;ID;Long;Lat;Year;Winter;Spring;summer;Autumn
278;Selune;137;-1.25;48.75;1804;5.677861069;12.2919478;17.41498912;8.589176987
279;Seudre;138;-0.75;45.75;1804;9.818679347;15.15386038;20.37257709;12.84755268
280;Sevre_Niortaise;140;-1.25;46.25;1804;7.566385905;14.15767693;19.49963749;10.54699707
281;Sienne;319;-1.75;48.75;1804;5.677861069;12.2919478;17.41498912;8.589176987
282;Somme;146;1.75;50.25;1804;5.242026589;12.75550241;17.98976921;8.570819277
283;Tagus;151;-8.75;39.25;1804;11.67256673;17.17756237;23.25135202;14.58092429
284;Touques;162;0.75;49.25;1804;6.758378462;12.95171287;18.22304281;10.38011031
285;Trieux;165;-3.25;48.75;1804;6.987771699;12.50595925;17.39588512;10.01198971
286;Ulla;288;-8.75;42.75;1804;8.835502856;12.93660482;17.83156794;11.34443988
287;Urumea;282;-1.75;43.25;1804;4.792089289;11.55380804;16.6441151;7.156072443
288;Vida;173;8.75;54.75;1804;3.177817605;11.09049849;17.66496785;8.021859834
289;Vilaine;176;-2.25;47.75;1804;9.378541889;14.19805076;19.14587865;12.56792935
290;Vire;178;-1.25;49.25;1804;7.613628041;12.98177268;18.02831199;11.20263672
291;Weser;183;8.75;53.25;1804;3.205402721;12.02113111;18.31683072;7.514377478
292;Yser;187;2.75;51.25;1804;5.436009263;13.07093302;18.55302198;9.293292421
293;Aa;1;2.25;50.75;1805;5.901188706;12.74660145;18.17791933;9.775341612
294;Adour;3;-0.75;43.75;1805;10.8478634;16.13125055;21.18066684;13.69873417
295;Ason;289;-3.25;43.25;1805;11.59657426;15.41549405;20.18143995;14.64063795
296;Aulne;14;-4.25;48.25;1805;8.606478604;12.90419885;17.49279323;11.68520008
297;Authie;15;1.75;50.25;1805;5.242026589;12.75550241;17.98976921;8.570819277
298;Auzance;16;-1.75;46.75;1805;7.566385905;14.15767693;19.49963749;10.54699707
299;Bidassoa;284;-1.75;43.25;1805;4.792089289;11.55380804;16.6441151;7.156072443
300;Blavet;23;-3.25;47.75;1805;6.987771699;12.50595925;17.39588512;10.01198971
301;Bresle;25;1.25;50.25;1805;5.242026589;12.75550241;17.98976921;8.570819277
302;Canche;29;1.75;50.25;1805;5.901188706;12.74660145;18.17791933;9.775341612
303;Charente;32;-0.75;45.75;1805;9.818679347;15.15386038;20.37257709;12.84755268
304;Couesnon;36;-1.25;48.75;1805;5.677861069;12.2919478;17.41498912;8.589176987
305;Deva_Cares;279;-2.25;43.25;1805;5.127417362;11.26612623;16.1364071;7.405676639
306;Dives;41;-0.25;49.25;1805;6.758378462;12.95171287;18.22304281;10.38011031
307;Douro;45;-8.25;41.25;1805;9.699079109;14.340861;19.89746094;12.23048817
308;Douve;46;-1.25;49.25;1805;7.613628041;12.98177268;18.02831199;11.20263672
309;Drammens;47;10.25;59.75;1805;-5.519149318;6.532294996;13.67980865;-0.276583585
